Document_id,Clean_text,Sentiment
1,honestly absurd good spiderverse movie across spiderverse great,positive
2,animation flow everything genius character development action,positive
3,wasnt already obvious first film officially clear day people behind,positive
4,cliffhanger think rating solidify watch beyond spiderverse see end,positive
5,time since ive walked cinema feeling satisfied film thisi enjoyed,positive
6,spiderman spiderverse probably favorite spiderman movie however feeling spiderman across spiderverse currently glitching one hand action scene spectacular animation,neutral
7,time since ive walked cinema feeling satisfied film ,positive
8,let say first hour film hooked knew film surpass,positive
9,let say first hour film hooked knew film surpass predecessor term story entertainment around,positive
10,absolutely loved spiderverse earned best animated picture oscar best spiderman movie stand landmark animation set record animator working single film record broken sequel five year anticipation talented hand lord miller behind scene super hyped movie prepped love film heard nothing good thing praise well deserved couldnt help walk away saying film wasgoodgiven film stellar reception feel compelled explain giving film respectable first film complete story part end continued dont think thats spoiler considering original teaser advertised across spiderverse part like great cliff hanger past like two tower empire strike back back future part movie need complete selfcontained conflict film complete conflict feeling resolution feel full review currently held hostage fact story incomplete cant give full mark considering story could end like series lost completely undermined whole journeywith way tell thing make movie great animation step even previous groundbreaking entry many different animation style team juggle looked visually stunning may stimulation thought moved right speedthe fan service easter egg whatever want call never overused movie treat easter egg like main course movie balance well never overstay welcome always add story opposed distract itthe humor spot many joke movie laughing awkwardly loud joke dont typical mcu problem detracting serious moment given time breath joke fast paced witty come variety source visual gag character joke situational joke isnt reliant single person humorand action movie next level stuff every fight scene chase scene like bridge fight kung fu panda movement fluid detail superb everything fall right place poetry motion since spidermen action acrobatics reflex work well within story reminder make character much fun write forthere main conflict pop story feeding narrative theme second come focus movie loses momentum nice story reason hero feel completely alone problem raise lot question might get answered later movie ignored positive side think film figured throw one last hook absolutely hooked next onewho know maybe one day trilogy completed come back amend review stand right cant give anything higher gave dont let third movie great power come great responsibility,positive
11,absolutely awesome felt like traveling multiverse childhood back saw tobey maguire spiderman year ago year old seeing spider people including spidercat spiderrex spot traveling venom universe absolutely hilarious hope see ultimate spiderman video game never finished gamecube xbox almost year since kid seeing spiderman p game outstanding hope spiderman beyond spiderverse meet tobey maguire mile team help build device gwen meet andrew garfield spiderman help build device bring mile home,positive
12,generally liked animation constantly reminded trying watch movie without glass petty drama,positive
13,such rare incidents in scenes loved film,positive
14,felt the movie too long,neutral
15,probably wont affected much didnt issue spiderverse apparently increased intensity point left headache ,negative
16,spiderman across spiderverse disappointing sequel film,negative
17,one first half film slow meandering many subplots dont really go,negative
18,loved a good spiderverse movie after a long time,positive
19,year worth wait amazing animation beautiful character rich backstories fight amazing gwens story amazing everything amazing entire movie gorgeous keep hooked almost force continue watching thats amazing hype around movie deserved made sense seeing movie may greatest film ever seenthis isnt run mill kid move action movie animated movie masterpiece age enjoy amazing sequel set extremely high hope third movie,positive
20,absolutely awesome felt like traveling multiverse childhood back saw tobey maguire spiderman year ago year old seeing spider people including spidercat spiderrex spot traveling venom universe absolutely hilarious hope see ultimate spiderman video game never finished gamecube xbox almost year since kid seeing spiderman p game outstanding hope spiderman beyond spiderverse meet tobey maguire mile team help build device gwen meet andrew garfield spiderman help build device bring mile home,positive
